Date,Close,Ticker
2015-01-02,235.58,ZSL
2015-01-02,1.79979,NTIP
2015-01-02,7.50944,TEF
2015-01-02,87.2037,AON
2015-01-02,18.0537,FRI
2015-01-02,18.3035,CSV
2015-01-02,21.8785,NKSH
2015-01-02,13.48,PENN
2015-01-02,18.893,IMOS
2015-01-02,24.9,ENSV
2015-01-02,66960.0,BIOC
2015-01-02,40.2748,KSS
2015-01-02,39.1721,DLB
2015-01-02,66.7238,CW
2015-01-02,41.475,VBND
2015-01-02,12.6825,CIZN
2015-01-02,8.99,CENT
2015-01-02,13.5299,FLIC
2015-01-02,1.36,SGRP
2015-01-02,24.82,AMBC
2015-01-02,68.5632,MOG-A
2015-01-02,42.5098,J
2015-01-02,78.9226,VSS
2015-01-02,49.931,VT
2015-01-02,6.69,CVGI
2015-01-02,10.88,CDZI
2015-01-02,73.7989,EXP
2015-01-02,18.4575,OPXS
2015-01-02,22.4835,SPTM
2015-01-02,2.74,TRT
2015-01-02,56.998,MSI
2015-01-02,24.5787,HCSG
2015-01-02,80.72,FXY
2015-01-02,27.3406,ISRA
2015-01-02,40.0062,EQT
2015-01-02,29.8566,SRC
2015-01-02,12.4804,BSAC
2015-01-02,24.0445,PRGS
2015-01-02,25.1682,HACK
2015-01-02,8.97225,CRESY
2015-01-02,6.83892,CNHI
2015-01-02,8.83,VLRS
2015-01-02,27.119,CNS
2015-01-02,34.17,ASPS
2015-01-02,2.22,PRTS
2015-01-02,41.3883,DXJ
2015-01-02,52.3624,ETN
2015-01-02,38.2255,NWN
2015-01-02,9.49368,NYCB
2015-01-02,39.8618,L
2015-01-05,224.32,ZSL
2015-01-05,9.36265,NYCB
2015-01-05,81.31,FXY
2015-01-05,38.9068,L
2015-01-05,8.80363,CRESY
2015-01-05,26.9669,ISRA
2015-01-05,37.8697,EQT
2015-01-05,29.7574,SRC
2015-01-05,12.4291,BSAC
2015-01-05,23.8467,PRGS
2015-01-05,25.0913,HACK
2015-01-05,50.1963,ETN
2015-01-05,37.5646,NWN
2015-01-05,6.42339,CNHI
2015-01-05,8.67,VLRS
2015-01-05,32.46,ASPS
2015-01-05,2.18,PRTS
2015-01-05,26.9496,CNS
2015-01-05,1.75284,NTIP
2015-01-05,10.61,CDZI
2015-01-05,12.6562,CIZN
2015-01-05,9.39,CENT
2015-01-05,13.273,FLIC
2015-01-05,13.19,PENN
2015-01-05,18.5912,IMOS
2015-01-05,22.95,ENSV
2015-01-05,67500.0,BIOC
2015-01-05,40.0315,KSS
2015-01-05,38.36,DLB
2015-01-05,65.3236,CW
2015-01-05,41.5249,VBND
2015-01-05,22.0793,SPTM
2015-01-05,77.8135,VSS
2015-01-05,6.69,CVGI
2015-01-05,1.39,SGRP
2015-01-05,24.53,AMBC
2015-01-05,67.8973,MOG-A
2015-01-05,40.9767,J
2015-01-05,48.965,VT
2015-01-05,2.7155,TRT
2015-01-05,24.1561,HCSG
2015-01-05,69.8724,EXP
2015-01-05,11.9974,OPXS
2015-01-05,40.4459,DXJ
2015-01-05,55.7554,MSI
2015-01-05,21.2405,NKSH
2015-01-05,7.17814,TEF
2015-01-05,86.3624,AON
2015-01-05,18.1736,FRI
2015-01-05,18.2036,CSV
2015-01-06,215.26,ZSL
2015-01-06,82.11,FXY
2015-01-06,68.6753,EXP
2015-01-06,11.9974,OPXS
2015-01-06,39.5453,DXJ
2015-01-06,10.45,CDZI
2015-01-06,12.6102,CIZN
2015-01-06,9.0,CENT
2015-01-06,13.0442,FLIC
2015-01-06,1.37,SGRP
